sex,count,value
M,337127,JAKUB
K,315644,JULIA
K,236890,ZUZANNA
M,225102,KACPER
K,205968,MAJA
K,204557,WIKTORIA
M,204543,SZYMON
M,187417,JAN
K,178216,ALEKSANDRA
M,177384,FILIP
K,177061,OLIWIA
K,173433,NATALIA
M,172173,ANTONI
K,167579,ZOFIA
M,166946,MICHAŁ
M,161495,MATEUSZ
K,160533,LENA
M,150518,ALEKSANDER
K,149020,HANNA
K,145468,AMELIA
M,144751,MIKOŁAJ
M,134478,FRANCISZEK
M,132573,ADAM
K,131335,ALICJA
M,129638,WOJCIECH
K,126250,MARIA
M,124692,PIOTR
M,120138,BARTOSZ
M,114636,DAWID
M,112381,WIKTOR
K,110235,EMILIA
K,109297,ANNA
K,98402,WERONIKA
M,97649,MARCEL
K,96673,MARTYNA
K,95477,LAURA
M,95336,STANISŁAW
M,94407,IGOR
M,91180,NIKODEM
K,88157,KAROLINA
K,86881,GABRIELA
M,86461,MACIEJ
M,82676,DOMINIK
K,82264,NIKOLA
M,81322,PATRYK
M,80573,MAKSYMILIAN
M,78715,LEON
M,78588,KAMIL
M,78237,OSKAR
M,77083,PAWEŁ
K,77050,ANTONINA
M,75587,OLIWIER
M,72610,KRZYSZTOF
M,71859,KAROL
K,71085,POLA
K,70617,MAGDALENA
M,70131,MIŁOSZ
M,68608,TOMASZ
M,65748,IGNACY
K,65242,NADIA
M,62402,HUBERT
M,61600,TYMON
K,60346,IGA
K,59645,PATRYCJA
K,59504,KLAUDIA
K,58781,MILENA
K,58566,PAULINA
K,58141,MICHALINA
K,57721,LILIANA
K,57719,MARCELINA
K,56517,KINGA
M,56399,ALAN
M,53825,BARTŁOMIEJ
M,53590,ADRIAN
K,52677,KATARZYNA
K,52008,KORNELIA
K,51712,HELENA
K,51387,AGATA
M,51116,TYMOTEUSZ
M,50204,SEBASTIAN
K,47368,DOMINIKA
M,46457,ŁUKASZ
M,44976,GABRIEL
M,44792,JULIAN
M,44333,KRYSTIAN
K,43961,MARTA
K,43703,JAGODA
K,40586,KLARA
M,39917,MARCIN
M,38838,FABIAN
M,38509,DAMIAN
M,37891,DANIEL
K,37402,MAŁGORZATA
K,36939,ŁUCJA
K,36592,BARBARA
K,36582,JOANNA
K,35905,BLANKA
K,34472,NINA
K,32131,KAJA
M,30405,KONRAD
M,29460,NATAN
K,29286,IZABELA
M,28519,ARTUR
K,27990,ANASTAZJA
K,27946,KAMILA
M,27860,KSAWERY
K,27395,DARIA
K,27366,NELA
M,27189,GRZEGORZ
K,26767,SARA
M,26162,RAFAŁ
K,24681,SANDRA
K,24099,EWA
M,23889,ERYK
K,23304,LILIANNA
M,23183,PRZEMYSŁAW
M,22764,BRUNO
M,21746,BORYS
K,21699,MATYLDA
M,21412,OLAF
K,21197,AGNIESZKA
M,20836,KAJETAN
M,20686,KUBA
K,20581,ANIELA
M,20125,CEZARY
M,20029,BŁAŻEJ
K,19888,ROKSANA
K,19698,ADRIANNA
K,19624,JUSTYNA
K,19019,MONIKA
K,18837,RÓŻA
K,18527,ELIZA
K,18081,OLGA
M,17581,RADOSŁAW
M,17417,ROBERT
M,16958,MAREK
K,16565,ROZALIA
M,16505,TADEUSZ
K,16274,KALINA
K,16260,MIA
K,16031,MALWINA
K,15748,URSZULA
M,14411,JÓZEF
M,14261,ARKADIUSZ
M,13607,OLIVIER
K,13526,LIWIA
K,13420,LIDIA
K,13392,MARIANNA
M,13172,ANDRZEJ
M,13151,KORNEL
M,13143,TOBIASZ
M,12839,HENRYK
M,12810,EMIL
M,12763,WITOLD
K,12493,ANGELIKA
K,12312,AURELIA
M,12067,NORBERT
M,11904,GRACJAN
K,11869,DOROTA
M,11696,JERZY
K,11179,EWELINA
K,11166,OLIVIA
M,11077,ALEX
M,10466,KAZIMIERZ
M,10182,JACEK
K,10150,MARIKA
M,9967,MILAN
K,9837,BIANKA
M,9783,ALEKS
K,9483,SYLWIA
K,9418,MELANIA
K,9319,KARINA
M,9244,STEFAN
M,9156,NATANIEL
K,8669,DAGMARA
K,8609,GAJA
M,8604,ALEXANDER
M,8523,MIESZKO
K,8490,NICOLA
K,8344,NATASZA
M,8331,RYSZARD
K,8067,JULITA
M,7960,TEODOR
K,7918,DIANA
K,7870,VICTORIA
K,7859,VANESSA
M,7819,LEONARD
M,7615,DARIUSZ
K,7554,MARLENA
M,7467,DORIAN
M,7400,MARIUSZ
M,7298,GUSTAW
M,7217,KONSTANTY
K,7213,ADA
M,6904,SEWERYN
M,6795,REMIGIUSZ
K,6781,IDA
K,6781,APOLONIA
M,6702,JULIUSZ
K,6689,WANDA
K,6678,ELŻBIETA
K,6584,ZOJA
M,6570,BRAJAN
K,6535,NICOLE
M,6496,OLIVER
K,6434,ANITA
M,6432,ALBERT
M,6405,JĘDRZEJ
M,6321,LEO
M,5949,DAVID
M,5852,FELIKS
M,5852,IWO
M,5841,JEREMI
M,5758,SAMUEL
K,5699,ELENA
K,5677,RITA
K,5622,LUIZA
K,5515,INGA
M,5490,CYPRIAN
K,5483,JADWIGA
K,5462,EMMA
M,5356,MAKSYM
K,5332,SONIA
K,5176,JESSICA
K,5141,JAGNA
K,4957,STEFANIA
K,4844,SOFIA
K,4738,ANETA
M,4622,FLORIAN
M,4621,ERNEST
K,4588,BEATA
K,4575,NEL
M,4568,KORDIAN
K,4485,KRYSTYNA
K,4462,JOWITA
K,4452,PAULA
K,4424,MAYA
K,4333,LILIA
K,4304,JANINA
K,4155,JAŚMINA
M,4074,JAROSŁAW
K,4043,JULIANNA
K,3902,MAGDA
K,3865,ALINA
K,3814,EDYTA
K,3810,SABINA
K,3801,TERESA
K,3785,JUDYTA
K,3679,FAUSTYNA
K,3608,ANDŻELIKA
K,3591,LEA
M,3553,KEVIN
M,3551,WŁADYSŁAW
M,3537,KLAUDIUSZ
M,3537,BENIAMIN
K,3481,CELINA
M,3451,LUDWIK
K,3423,IZABELLA
M,3399,MAXIMILIAN
K,3345,ESTERA
M,3338,ALEKSY
K,3332,TOLA
M,3292,SYLWESTER
K,3291,ADELA
M,3278,ROMAN
M,3276,LUCJAN
M,3209,MARK
K,3175,OTYLIA
M,3174,DENIS
M,3107,MAURYCY
K,3097,LARA
M,3081,OLIWER
M,3039,MARCELI
M,3030,ZBIGNIEW
M,3015,SŁAWOMIR
K,3009,LILA
K,2995,NOEMI
K,2947,KONSTANCJA
K,2899,TATIANA
M,2891,HUGO
K,2852,VIKTORIA
K,2849,AMANDA
M,2847,JEREMIASZ
M,2786,OSCAR
K,2766,WANESSA
M,2761,EDWARD
K,2722,IWONA
M,2695,FRYDERYK
M,2673,OLGIERD
M,2588,NICOLAS
K,2581,FELICJA
M,2556,SZCZEPAN
K,2512,IRENA
K,2488,DANUTA
K,2474,JOLANTA
M,2463,MARTIN
M,2434,KEWIN
K,2276,WIOLETTA
K,2225,MILA
M,2221,OKTAWIAN
K,2213,ILONA
M,2154,NATHAN
M,2150,MAX
K,2150,SAMANTA
K,2143,ADRIANA
M,2133,ARON
M,2128,NIKOLAS
M,2090,KSAWIER
M,2080,JOACHIM
M,2077,TYTUS
K,2064,ANTONIA
M,2033,BOGDAN
M,2028,JANUSZ
M,2024,MAKS
M,2019,MIROSŁAW
M,2006,XAVIER
K,1990,OKTAWIA
M,1972,AMADEUSZ
K,1970,LIVIA
M,1954,VICTOR
K,1921,SOPHIE
M,1897,MICHAEL
K,1869,EMILY
K,1865,INES
K,1841,LUCYNA
K,1840,TAMARA
K,1838,GLORIA
K,1806,ALEXANDRA
K,1799,MILANA
M,1784,JONASZ
K,1784,ŻANETA
K,1695,MARZENA
M,1679,SERGIUSZ
M,1665,LESZEK
M,1661,BENJAMIN
M,1659,VINCENT
K,1640,INEZ
K,1637,FRANCISZKA
M,1623,LIAM
M,1617,KOSMA
M,1586,JONATAN
K,1570,OLIMPIA
M,1566,BERNARD
M,1553,EMILIAN
M,1538,KORNELIUSZ
K,1511,MALINA
M,1497,WINCENTY
M,1456,PATRICK
K,1454,MICHELLE
M,1432,KASJAN
M,1423,ARTEM
M,1421,VIKTOR
M,1414,KRYSPIN
K,1389,HALINA
M,1382,BRUNON
K,1382,FLORENTYNA
K,1380,INKA
K,1361,OLA
K,1351,HONORATA
K,1340,MIRIAM
K,1334,SOPHIA
M,1327,MIRON
M,1310,JACOB
K,1303,SOFIIA
K,1301,STELLA
M,1261,KASPER
M,1255,ZIEMOWIT
K,1251,KLEMENTYNA
K,1235,EVA
M,1217,EMANUEL
K,1213,MARCELA
M,1208,MARIAN
K,1191,ALISA
M,1188,IRENEUSZ
K,1186,AURORA
K,1151,RENATA
M,1148,BOLESŁAW
M,1139,ROCH
K,1134,CECYLIA
K,1134,WIOLETA
K,1129,WANESA
K,1112,KIRA
K,1102,MARIOLA
M,1094,LEONARDO
M,1090,BOGUSŁAW
K,1087,SARAH
K,1085,VERONIKA
K,1083,MIRA
K,1080,JÓZEFINA
K,1077,NAOMI
M,1055,ANTHONY
K,1053,NIKOL
K,1046,CLAUDIA
K,1041,CARMEN
M,1034,CZESŁAW
K,1025,DANIELA
K,1018,ARIANA
K,1003,LARYSA
K,993,BOŻENA
K,984,MAJKA
M,982,PHILIP
K,978,POLINA
K,977,LILY
M,970,OLEKSANDR
M,965,ZYGMUNT
M,965,THOMAS
M,964,BRAYAN
M,958,AARON
M,957,WALDEMAR
K,939,ZLATA
K,935,DALIA
M,923,ELIASZ
K,921,ANASTASIA
K,918,KSENIA
K,915,NATALIE
K,914,MELISA
M,910,MIECZYSŁAW
K,894,MARIETTA
K,890,JANA
M,887,MATVII
K,884,LILLY
M,880,OLEG
M,875,ZACHARY
M,871,GNIEWOMIR
K,869,GABRIELLA
K,863,NICOL
M,862,KASPIAN
M,860,ERWIN
K,835,IRMINA
K,834,MARCJANNA
K,830,HANNAH
M,828,BRIAN
K,827,ZOE
M,825,IVO
M,824,LEOPOLD
K,812,HANA
M,812,GERARD
K,811,IDALIA
K,801,ADELINA
M,791,ANTONIO
K,790,BOGUMIŁA
K,785,LETYCJA
M,783,BOGUMIŁ
M,781,NATHANIEL
M,780,WILLIAM
K,777,DOBRAWA
M,776,IVAN
M,774,MAXYMILIAN
K,770,VERONICA
K,766,ISABELLA
M,760,GNIEWKO
M,754,WINCENT
K,752,NELLY
K,751,ROMA
M,741,BENEDYKT
M,740,SIMON
K,728,ABIGAIL
M,725,MATTHEW
K,724,LUNA
K,713,GRAŻYNA
M,713,NOAH
M,712,NICHOLAS
K,705,KAYA
M,699,COLIN
M,692,LUKAS
M,685,BRONISŁAW
K,684,BIANCA
K,681,STANISŁAWA
K,679,ANGELINA
M,677,TIMUR
K,677,SELENA
K,674,LILLA
K,672,DOBROSŁAWA
K,665,BOGNA
M,665,DOMINIC
M,663,NIKITA
M,654,LUCAS
M,654,KLEMENS
M,652,BRYAN
M,647,TEO
K,644,ALICE
K,643,ELWIRA
K,636,JASMINA
M,631,FRANEK
M,629,FELIX
M,622,VLADYSLAV
K,620,ALICIA
K,616,MELISSA
K,616,DŻESIKA
K,612,MARINA
K,604,MARIIA
K,603,LILI
M,598,PASCAL
M,597,EDMUND
M,594,CHRISTIAN
M,590,ALLAN
M,585,KAI
K,583,OKSANA
K,576,WALERIA
K,576,LAILA
M,576,LEW
K,575,ARINA
M,573,MATTEO
M,569,ERIK
K,565,BERENIKA
K,563,GRETA
M,562,DMYTRO
K,560,ANIKA
M,555,BARTEK
M,553,MARCO
M,549,WIT
M,542,WIESŁAW
M,533,MAKAR
K,532,HIACYNTA
M,529,KRZESIMIR
K,529,MARYLA
K,529,ERYKA
M,528,TYMOFII
K,527,MIRELLA
M,525,RYAN
M,525,ANTON
M,523,JONATHAN
K,520,ROXANA
K,517,ARLETA
M,516,DIEGO
K,514,JENNIFER
K,514,ORIANA
M,513,ARIEL
K,511,BERNADETA
M,503,DANIIL
K,502,NELLA
M,502,NAZAR
M,501,DANYLO
K,500,MARTINA
K,497,NASTIA
M,496,ERIC
M,489,DYLAN
K,487,ANASTASIIA
M,486,NOEL
M,485,DAMIR
K,481,LIA
K,481,IZA
K,477,EMILIIA
K,474,NELIA
K,473,NELL
M,473,JAKOB
K,472,NIKA
M,470,LUKA
M,469,OREST
M,468,AUGUSTYN
M,468,RAFAEL
M,468,HENRY
M,467,MARKO
M,467,KARIM
K,466,LAYLA
M,465,MYKHAILO
K,465,LEILA
M,462,TRISTAN
M,459,CYRYL
K,459,VIVIEN
K,458,GAIA
M,456,MARKUS
K,455,NADZIEJA
K,455,CLARA
K,451,ELEONORA
K,451,KASANDRA
M,450,OLEK
M,449,LUCA
M,449,BASTIAN
M,448,JUSTIN
K,442,MARITA
M,439,ZACHARIASZ
M,437,RAYAN
M,434,FELICJAN
M,432,JOSHUA
K,431,VIKTORIIA
K,431,JASMIN
K,429,YEVA
M,429,CASPER
K,428,SOLOMIIA
K,427,SOFIJA
M,426,ARTHUR
M,426,MAKARY
K,424,PAMELA
K,420,NIKOLETTA
M,419,XAWERY
K,418,REGINA
M,417,WŁODZIMIERZ
K,415,BRYGIDA
K,413,GIULIA
K,412,INA
M,411,ANDRII
M,409,FRANK
M,409,AUGUST
K,407,OLEKSANDRA
M,407,ZDZISŁAW
M,405,THEO
K,404,JESSIKA
K,404,ELISA
M,401,MAKSIM
K,394,MANUELA
M,392,ALEK
K,392,ANGELA
M,391,MAXIM
M,390,ALESSANDRO
K,388,LISA
K,384,AMINA
M,382,BOHDAN
K,380,ELIZABETH
M,379,PAUL
M,378,AMIR
M,378,IWAN
M,375,DAVYD
M,374,SAMBOR
K,374,ZOYA
M,374,NOE
M,373,EUGENIUSZ
M,371,ETHAN
K,369,OLENA
K,369,KATERYNA
M,368,JORDAN
M,368,LECH
M,366,CHRISTOPHER
K,366,SIMONA
K,365,MIROSŁAWA
M,363,FRANCESCO
M,362,ANATOL
M,361,EDGAR
M,360,JOEL
M,358,JAMES
K,358,JASMINE
K,358,CHARLOTTE
M,357,KRISTIAN
K,353,JESIKA
M,352,LOUIS
K,350,ELLA
K,349,EVELINA
K,349,ANDREA
K,347,ALDONA
M,347,ALI
M,344,NIKO
K,342,HALSZKA
M,337,JOHN
M,337,HEKTOR
K,334,BERNADETTA
K,333,PATRICIA
M,332,IAN
K,332,MARIE
M,331,YAROSLAV
M,331,ROLAND
M,330,DENNIS
K,327,LINDA
M,326,MANUEL
M,326,GNIEWOSZ
M,325,LEV
K,325,MATILDA
M,321,OMAR
K,318,NATASHA
M,317,LUIS
M,315,HIERONIM
K,314,MAIA
K,314,DOBROCHNA
M,310,TYCJAN
M,310,NICO
K,309,SABRINA
M,309,ALEXANDRE
K,309,LEOKADIA
M,308,ZENON
M,307,PETER
K,307,VARVARA
M,302,TOBIAS
M,301,ARSEN
K,301,ARIANNA
M,300,KAJ
K,298,LEYLA
K,298,CHLOE
M,295,ARMIN
M,292,ILLIA
M,291,MATEO
M,289,JAROMIR
K,286,LEONIA
K,286,JÓZEFA
M,285,RUBEN
K,285,LUKRECJA
K,285,ERIKA
M,282,TEOFIL
K,282,CHIARA
K,281,FLORA
K,278,VIVIENNE
M,278,AXEL
K,278,DAJANA
M,273,NATANAEL
K,271,VALENTINA
M,268,MARCUS
K,266,MELANIE
K,266,AMELIE
K,261,ZOSIA
K,261,LUDWIKA
K,259,DOBROMIŁA
K,257,VIOLETTA
M,257,SANTIAGO
K,256,BOGUSŁAWA
K,253,ANA
K,252,SAMIRA
K,250,JULIANA
M,250,WILHELM
M,250,JOSEPH
K,249,SAMANTHA
K,249,ELIANA
M,249,LORENZO
M,247,DENYS
K,247,MICHAELA
M,247,EDWIN
K,247,YASMIN
K,246,KATIA
M,245,BAZYLI
K,245,NIKOLINA
M,244,MIKE
K,244,MIJA
K,243,EMANUELA
M,242,ELIAS
K,240,ARIADNA
K,239,LUDMIŁA
M,239,MICHAL
M,238,ARIAN
M,237,VOLODYMYR
K,236,LUCY
K,234,NASTAZJA
M,233,WAWRZYNIEC
M,232,FABIO
M,231,RADOMIR
K,231,SUSANNA
K,230,ARIA
M,230,CRISTIAN
M,230,DOBROMIR
K,230,CAROLINE
K,230,AMIRA
K,229,GRACJA
K,228,CAROLINA
K,227,ROSE
M,226,SERAFIN
K,226,FRANCESCA
K,225,NOELIA
M,223,PHILIPP
K,221,KARMEN
K,219,KIARA
K,218,AMY
K,218,DAGNA
K,217,MIKA
K,217,NATHALIE
K,215,JESICA
K,213,GRACJANA
M,213,ANGELO
K,212,WALENTYNA
M,211,DEMIAN
K,211,FATIMA
M,210,DAVIDE
K,210,MARIAM
M,210,ANTEK
K,207,ISMENA
M,207,WOJTEK
K,205,ŻAKLINA
M,205,AURELIUSZ
K,205,ZUZA
M,205,SAMIR
M,202,BRANDON
M,202,BRAIAN
M,202,KILIAN
K,201,YELYZAVETA
K,201,AISHA
M,200,MATVIY
M,199,SEAN
K,199,LORENA
K,196,DARYNA
M,195,ANDREAS
K,195,MEGAN
M,195,BOGUSZ
K,194,VALERIA
K,193,ARLETTA
K,191,YANA
M,191,TYBERIUSZ
K,191,DEBORA
K,191,DONATA
M,190,JACK
M,190,STANISLAV
M,190,PHILLIP
M,188,EMMANUEL
M,188,TIMOTHY
K,188,ALESSIA
K,187,EMILIE
K,187,EMILA
M,187,ALEKSANDR
K,185,MILLA
M,185,MAXIME
K,181,MIIA
K,181,MIRELA
K,180,SOFIE
M,179,MILO
K,177,VALERIIA
K,176,SALMA
K,175,RAMONA
M,175,ZAKHAR
K,174,BLANCA
K,172,OFELIA
K,172,LEAH
K,172,ANGELICA
M,171,PASKAL
K,171,REBEKA
K,171,OLIVIIA
M,171,TOMAS
K,171,ISABEL
M,170,CARLOS
M,170,SVIATOSLAV
M,169,JASON
M,169,DYMITR
K,168,LARISSA
K,168,ULIANA
M,168,ROBIN
K,168,ALENA
M,167,BEN
K,167,NADINE
M,165,MIKOLAJ
M,164,MICHELE
K,164,LUISA
K,164,EUNIKA
K,164,ELINA
K,164,MIŁOSŁAWA
M,163,XAWIER
M,162,MARIO
M,161,DENIZ
K,161,MARGARITA
M,160,MUHAMMAD
K,159,CORNELIA
M,159,TOM
M,158,GABRIELE
M,158,KONSTANTYN
K,158,ZARA
M,158,ANTONY
K,156,KAYLA
K,155,MIRANDA
K,155,MYROSLAVA
K,155,CARLA
M,155,KIRILL
M,153,SIMONE
M,153,PLATON
M,153,LESŁAW
K,152,MALIKA
M,152,STANISLAW
K,152,WIESŁAWA
M,151,MIKHAIL
M,151,ANDREA
K,151,ADELAJDA
M,151,EMIR
K,150,NIKOLETA
K,150,NOA
K,150,BALBINA
M,149,RICCARDO
K,149,WIRGINIA
K,148,KAREN
K,148,BELLA
M,146,MIGUEL
K,146,VITTORIA
K,146,KAMELIA
M,145,GUSTAV
K,144,ALMA
K,144,KLAUDYNA
M,143,MAXIMILLIAN
K,143,CHANEL
K,143,ANATOLA
K,142,SOLOMIA
K,142,ISABELLE
K,142,NADJA
K,142,KESJA
K,141,AYLA
M,141,JONAS
M,141,PAVLO
M,139,OSTAP
M,139,MARSEL
M,139,RAGNAR
M,139,JAREMA
K,139,HANIA
K,138,SOFIYA
M,138,TIM
M,137,THEODORE
M,137,VALENTINO
M,137,DANIL
M,136,PATRIK
K,135,NICOLETTA
K,135,AYA
K,135,ALESSANDRA
M,134,IBRAHIM
K,134,SCARLETT
M,134,JEREMY
M,133,DASTIN
M,133,TYMUR
M,132,GIOVANNI
K,132,LUCIA
M,131,MAGNUS
M,131,HARRY
M,131,ANDREW
K,130,RACHELA
K,130,ILIANA
M,130,ANTOINE
K,130,KORA
K,129,CATALEYA
M,129,YAN
M,129,AMBROŻY
M,128,ITAN
K,128,MARYAM
M,128,MYKOLA
K,127,LILLI
K,127,VIVIANA
K,127,SYNTIA
M,126,LOGAN
K,125,ASTRID
K,125,CAMILLA
K,124,LIZA
M,124,DANYIL
K,123,AMALIA
M,123,ROGER
K,123,SALOMEA
M,123,VLADISLAV
K,123,LIGIA
K,122,TINA
M,122,RICHARD
M,121,OKTAWIUSZ
M,121,DIONIZY
M,120,OLEKSII
K,120,WIWIANA
M,120,ALFRED
K,119,BRONISŁAWA
K,118,AIDA
M,117,SAMI
M,117,YEHOR
K,117,MIYA
M,116,LUCJUSZ
K,116,ZYTA
K,115,VERA
K,115,CHANTAL
M,114,ENZO
M,114,NOLAN
K,113,KAZIMIERA
M,113,LUBOMIR
M,113,WALENTY
M,112,DACJAN
M,112,ARNOLD
K,112,YASMINE
K,110,SUSANNE
M,110,MYRON
M,109,SAJMON
K,109,NICOLL
M,108,HERBERT
M,108,THEODOR
M,108,MATTIA
K,108,SUZANNA
K,107,KORNELA
M,107,MATVEY
K,107,CELESTYNA
K,107,MONICA
M,107,CHARLES
K,107,ELISABETH
K,105,JULIE
K,105,YASMINA
M,105,WACŁAW
K,105,KASJANA
K,105,SUZANNE
K,104,ANASTASIYA
M,104,CHARLIE
M,104,KIRIL
M,103,ALESSIO
M,103,PABLO
M,102,MOHAMED
K,102,LINA
K,102,KRISTINA
K,102,PAOLA
K,101,AVA
K,101,FILOMENA
K,100,FLORENCJA
K,99,EUGENIA
K,99,AMBER
M,99,FEDERICO
M,98,MYROSLAV
M,97,ALBIN
K,97,VANESA
K,97,MELA
K,96,JANKA
M,96,KYRYLO
M,96,AHMED
K,96,LARISA
K,95,JULIETTE
M,95,RICARDO
M,95,CHRYSTIAN
K,95,CYNTIA
K,94,KAMILLA
M,94,BORIS
M,94,YURII
M,94,RAJAN
K,94,MIROSLAVA
K,93,GABRIELLE
K,93,KATALEJA
K,93,TOSIA
K,93,HELEN
M,93,RADZIMIR
K,92,IMAN
K,92,LÉA
M,92,CONRAD
K,92,NELLI
K,92,INGRID
K,91,ANABELLA
K,91,ALIA
M,91,ALEJANDRO
K,91,EMILI
M,91,MAGOMED
K,91,ANATOLIA
K,91,ROSA
M,90,AKSEL
M,90,TIMOFEY
M,90,PAVEL
M,89,MATTHIAS
K,89,WŁADYSŁAWA
M,89,LUKE
K,88,MALENA
K,88,CZESŁAWA
K,88,RAYANA
K,87,RAISA
M,87,EMILIO
M,87,LIONEL
M,87,RAJMUND
K,87,NAWOJKA
K,87,WERA
M,86,SYRIUSZ
K,86,ELIZAVETA
M,86,ZAHAR
M,85,SERHII
M,84,FRANCIS
M,84,BALTAZAR
M,84,EVAN
K,83,SOLOMIJA
M,83,ALOJZY
M,83,ZACHAR
M,83,DAJAN
M,83,PAOLO
K,82,ANHELINA
K,82,AMELIIA
M,82,AIDEN
M,82,JAVIER
K,82,GRACE
M,82,JANEK
K,82,ADEL
K,82,PIA
K,81,LEIA
K,81,NILA
M,81,GILBERT
M,81,BARNABA
M,81,PHILIPPE
K,81,VLADYSLAVA
K,81,ELIF
K,80,ELENI
M,80,GEORGE
K,80,KARLA
M,80,ISMAEL
K,79,DANA
M,79,MATHIAS
K,79,ANIA
K,78,MELODY
K,78,KATHERINE
K,77,RONI
K,77,NELI
M,77,TIAGO
M,76,GIUSEPPE
K,76,MARYSIA
K,76,MERCEDES
K,76,AYLIN
M,76,GASPAR
K,76,VIVIAN
M,76,LÉO
M,75,STEVEN
M,75,RAPHAEL
K,75,MOLLY
K,75,LANA
K,75,SOLOMIYA
M,75,KONSTANTIN
K,74,FREYA
M,74,BOŻYDAR
M,74,MARIA
M,74,MYKYTA
M,74,NIKLAS
M,74,PAWEL
M,74,NOAM
K,74,LATIKA
K,73,CHRISTINA
K,73,DARINA
M,72,ROBERTO
M,72,GLEB
M,72,GORAN
K,72,MARHARYTA
M,71,GERALD
K,71,LETICIA
M,71,GAWEŁ
M,71,NORMAN
M,71,PATRYCJUSZ
K,71,WIERA
M,71,ROMUALD
M,71,JASPER
K,71,KAIA
K,71,MIŁA
K,70,HENRYKA
M,70,MASON
K,70,NIKITA
M,69,OLEH
M,69,NESTOR
K,69,MELANIIA
M,69,YUSUF
M,69,TYMOFIY
M,69,MICHEL
M,69,DANTE
K,68,ELA
K,68,FLAWIA
M,68,ORLANDO
M,67,FREDERICK
K,67,LIANA
K,66,ALEXIA
K,66,HEIDI
M,66,MARTYN
M,66,ARYAN
M,66,ILIAN
M,66,ARMANDO
K,66,LIJA
K,66,ARIELA
M,66,IDO
M,66,ANDRIY
K,65,MARIANA
M,65,JEGOR
M,65,RAUL
M,65,JUAN
K,65,LILLIAN
K,65,KHRYSTYNA
M,65,JUSTYN
M,65,TYMOFIJ
K,64,TULIA
M,64,EGOR
K,64,MARTHA
M,64,SIEMOWIT
M,63,YEVHEN
M,63,NICODEM
K,63,REBECCA
K,63,SYLVIA
M,63,ELDAR
K,63,JAGIENKA
M,63,MIROSLAV
K,63,ANNIKA
K,62,OLHA
M,62,MATVEI
K,62,YULIIA
K,62,LEONIE
M,62,ALEXANDROS
M,62,LÉON
M,62,ILYA
K,61,MARIYA
K,61,ANNABELLE
M,61,ROSTYSLAV
K,60,RUTA
K,60,ROSALIA
M,60,EUZEBIUSZ
K,60,ADELE
M,60,ELLIOT
M,60,DUSTIN
M,60,HORACY
M,59,IZAAK
M,59,RADEK
K,59,MARISA
M,59,THIAGO
M,59,YASIN
K,59,IRIS
M,59,TIMO
M,58,YOAV
K,58,KSENIIA
K,58,CIRILLA
K,58,DELFINA
K,58,AALIYAH
M,58,ISMAIL
K,58,GENOWEFA
M,58,LARS
K,58,LILIAN
M,58,MAXIMUS
M,57,TARAS
M,57,MATWIEJ
K,57,YAROSLAVA
M,57,PEDRO
M,57,FRANCISCO
M,56,ILIA
K,56,PELAGIA
K,56,JACQUELINE
M,56,MAIK
M,56,ISLAM
K,56,IVANNA
K,55,FLORIANNA
K,55,LUCJA
M,55,SANTINO
K,55,ARYA
M,55,ANDREI
M,55,MATWIJ
M,55,ROMEO
K,55,ALIYA
M,55,VADYM
K,55,CHLOÉ
M,55,KLIMEK
M,54,LEONID
K,54,CAMILA
K,54,ZORIANA
K,54,YAEL
M,54,MATVIJ
K,54,RUT
M,53,SASZA
M,53,TONY
M,53,MACIEK
K,53,SHIRA
K,53,SAWA
K,52,ELLEN
K,52,ESTER
M,52,MIKAEL
M,52,NIKOLAI
M,52,YANN
K,52,ROSALIE
M,52,RUDOLF
K,52,IRYNA
K,52,LOUISE
K,52,LÉNA
K,51,LILLIANA
K,51,PATRIZIA
M,51,OMER
K,51,MARYNA
K,51,FRIDA
K,51,MIKAELA
M,51,RUSLAN
K,51,AGATHA
M,51,JOSEF
K,51,DĄBRÓWKA
K,50,KELLY
M,50,MASSIMO
M,50,YOUSSEF
K,50,LYDIA
M,50,PIETRO
M,50,MARC
K,50,LENKA
K,50,EMI
K,50,LIYA
M,50,KOSTIANTYN
K,50,DARIIA
K,50,SŁAWA
K,50,SOFI
K,50,KATIE
K,50,DANIELLA
K,49,AFINA
M,49,MAXYM
K,49,INDIA
M,49,STEPAN
M,49,GIACOMO
M,49,MAXWELL
K,49,JOSEPHINE
K,49,MAIIA
K,49,SILVIA
K,48,VIRA
K,48,KATJA
M,48,DANIELE
M,48,USTYM
M,48,GERALT
M,48,STANLEY
M,47,ADRIEN
K,47,POLIANNA
K,47,ELLIE
K,47,ŻYWIA
K,47,KATRINA
K,47,ANJA
M,47,YUVAL
M,46,GROMOSŁAW
K,46,IVY
M,46,ROY
K,46,VIRGINIA
M,46,JAMIE
M,46,ABDUL
K,46,ESTHER
K,46,ULYANA
M,46,VITO
M,46,FILIPPO
K,46,MARIETA
K,46,KATE
M,46,TIMOFEI
K,45,KHAVA
M,45,VITALII
M,45,KALEB
M,45,ELIOT
K,45,SUSAN
M,45,MELCHIOR
M,45,COLLIN
M,45,MILOSZ
M,45,ADEM
K,45,ZUZANA
M,45,AIDAN
M,45,OTTO
M,45,RAPHAËL
K,44,IWA
K,44,WARWARA
M,44,TOMMY
M,44,ADRIANO
M,44,MALIK
M,44,JAYDEN
